micro_f1,macro_f1,source,target,model,seed,train_time,lr,weight_decay,num_layers,dropout_ratio,config_id
0.3308270676691729,0.2628197365191065,USA,EUROPE,GNN,0,1.8219654560089111,0.0001,0.001,2,0.1,0
0.2631578947368421,0.1822971554729006,USA,EUROPE,GNN,1,1.9013316631317139,0.0001,0.001,2,0.1,0
0.2556390977443609,0.209699694796215,USA,EUROPE,GNN,2,1.9739711284637451,0.0001,0.001,2,0.1,0
0.2681704260651629,0.18181450719822811,USA,EUROPE,GNN,0,2.0049097537994385,0.0001,0.001,2,0.3,1
0.2781954887218045,0.15551390699695783,USA,EUROPE,GNN,1,2.959040641784668,0.0001,0.001,2,0.3,1
0.22305764411027568,0.16865792880268987,USA,EUROPE,GNN,2,1.948577880859375,0.0001,0.001,2,0.3,1
0.17543859649122806,0.1263289768577976,USA,EUROPE,GNN,0,1.8658695220947266,0.0001,0.001,2,0.5,2
0.2957393483709273,0.2029568055731673,USA,EUROPE,GNN,1,1.8400897979736328,0.0001,0.001,2,0.5,2
0.2581453634085213,0.18641952184708765,USA,EUROPE,GNN,2,2.593931198120117,0.0001,0.001,2,0.5,2
0.2681704260651629,0.2200912582006037,USA,EUROPE,GNN,0,3.0978047847747803,0.0001,0.001,3,0.1,3
0.2556390977443609,0.11810547693497954,USA,EUROPE,GNN,1,2.792830467224121,0.0001,0.001,3,0.1,3
0.2606516290726817,0.13267590019926467,USA,EUROPE,GNN,2,2.427248001098633,0.0001,0.001,3,0.1,3
0.2556390977443609,0.11536536536536536,USA,EUROPE,GNN,0,2.293884754180908,0.0001,0.001,3,0.3,4
0.3032581453634085,0.19766197603301677,USA,EUROPE,GNN,1,2.8038768768310547,0.0001,0.001,3,0.3,4
0.3508771929824561,0.2835896982385782,USA,EUROPE,GNN,2,3.482159376144409,0.0001,0.001,3,0.3,4
0.3032581453634085,0.18503568503568502,USA,EUROPE,GNN,0,3.1375575065612793,0.0001,0.001,3,0.5,5
0.2681704260651629,0.14361223571749887,USA,EUROPE,GNN,1,3.380007743835449,0.0001,0.001,3,0.5,5
0.3032581453634085,0.1918745511416582,USA,EUROPE,GNN,2,2.233363151550293,0.0001,0.001,3,0.5,5
0.21804511278195488,0.09453382838283829,USA,EUROPE,GNN,0,2.9110796451568604,0.0001,0.001,4,0.1,6
0.24812030075187969,0.09979838709677419,USA,EUROPE,GNN,1,3.228817939758301,0.0001,0.001,4,0.1,6
0.2506265664160401,0.1050567980818364,USA,EUROPE,GNN,2,3.039167881011963,0.0001,0.001,4,0.1,6
0.2681704260651629,0.13947625243981782,USA,EUROPE,GNN,0,3.1205856800079346,0.0001,0.001,4,0.3,7
0.2531328320802005,0.11086086086086086,USA,EUROPE,GNN,1,3.249161720275879,0.0001,0.001,4,0.3,7
0.2506265664160401,0.10602158219281095,USA,EUROPE,GNN,2,3.0459206104278564,0.0001,0.001,4,0.3,7
0.24060150375939848,0.12074297294452047,USA,EUROPE,GNN,0,2.675947666168213,0.0001,0.001,4,0.5,8
0.2506265664160401,0.11077102721064365,USA,EUROPE,GNN,1,2.6946959495544434,0.0001,0.001,4,0.5,8
0.2531328320802005,0.10963639141394851,USA,EUROPE,GNN,2,2.9963858127593994,0.0001,0.001,4,0.5,8
0.3032581453634085,0.18928856914468425,USA,EUROPE,GNN,0,2.276697874069214,0.0001,0.005,2,0.1,9
0.24812030075187969,0.09939759036144578,USA,EUROPE,GNN,1,1.9417972564697266,0.0001,0.005,2,0.1,9
0.19548872180451127,0.13564641420446663,USA,EUROPE,GNN,2,2.099015712738037,0.0001,0.005,2,0.1,9
0.24561403508771928,0.17688056805556832,USA,EUROPE,GNN,0,1.9595961570739746,0.0001,0.005,2,0.3,10
0.23308270676691728,0.1233780218596888,USA,EUROPE,GNN,1,1.9066152572631836,0.0001,0.005,2,0.3,10
0.2581453634085213,0.13686061729741522,USA,EUROPE,GNN,2,1.8498742580413818,0.0001,0.005,2,0.3,10
0.3458646616541353,0.26097891609702634,USA,EUROPE,GNN,0,1.8996152877807617,0.0001,0.005,2,0.5,11
0.2706766917293233,0.14936544321136053,USA,EUROPE,GNN,1,1.8799242973327637,0.0001,0.005,2,0.5,11
0.2982456140350877,0.19037211214761135,USA,EUROPE,GNN,2,1.8211705684661865,0.0001,0.005,2,0.5,11
0.18045112781954886,0.0846701005641403,USA,EUROPE,GNN,0,2.0374984741210938,0.0001,0.005,3,0.1,12
0.2932330827067669,0.1709153587952463,USA,EUROPE,GNN,1,2.200808048248291,0.0001,0.005,3,0.1,12
0.20551378446115287,0.10101954267712175,USA,EUROPE,GNN,2,2.2251126766204834,0.0001,0.005,3,0.1,12
0.3107769423558897,0.2035950200132603,USA,EUROPE,GNN,0,2.3351662158966064,0.0001,0.005,3,0.3,13
0.21052631578947367,0.11405788457952329,USA,EUROPE,GNN,1,2.064056873321533,0.0001,0.005,3,0.3,13
0.2631578947368421,0.12898121002132196,USA,EUROPE,GNN,2,3.1088452339172363,0.0001,0.005,3,0.3,13
0.24812030075187969,0.09939759036144578,USA,EUROPE,GNN,0,2.3306353092193604,0.0001,0.005,3,0.5,14
0.2957393483709273,0.19550100567828874,USA,EUROPE,GNN,1,2.5145366191864014,0.0001,0.005,3,0.5,14
0.2706766917293233,0.1823343095934357,USA,EUROPE,GNN,2,2.3658556938171387,0.0001,0.005,3,0.5,14
0.24812030075187969,0.09939759036144578,USA,EUROPE,GNN,0,2.7153730392456055,0.0001,0.005,4,0.1,15
0.2656641604010025,0.13325482219010404,USA,EUROPE,GNN,1,2.6032183170318604,0.0001,0.005,4,0.1,15
0.24812030075187969,0.1014344262295082,USA,EUROPE,GNN,2,2.4860594272613525,0.0001,0.005,4,0.1,15
0.3032581453634085,0.19353563103563104,USA,EUROPE,GNN,0,2.501915216445923,0.0001,0.005,4,0.3,16
0.24812030075187969,0.09939759036144578,USA,EUROPE,GNN,1,2.5524497032165527,0.0001,0.005,4,0.3,16
0.2756892230576441,0.15346066099395733,USA,EUROPE,GNN,2,2.718989133834839,0.0001,0.005,4,0.3,16
0.19298245614035087,0.11569165445832195,USA,EUROPE,GNN,0,3.1246445178985596,0.0001,0.005,4,0.5,17
0.2556390977443609,0.11638377053644368,USA,EUROPE,GNN,1,3.54722261428833,0.0001,0.005,4,0.5,17
0.24812030075187969,0.09939759036144578,USA,EUROPE,GNN,2,2.895641565322876,0.0001,0.005,4,0.5,17
0.3233082706766917,0.22579585952829057,USA,EUROPE,GNN,0,1.972198724746704,0.0001,0.01,2,0.1,18
0.3182957393483709,0.24138104838709679,USA,EUROPE,GNN,1,2.058818817138672,0.0001,0.01,2,0.1,18
0.2756892230576441,0.1623788730074856,USA,EUROPE,GNN,2,2.0819239616394043,0.0001,0.01,2,0.1,18
0.2631578947368421,0.13152241920393531,USA,EUROPE,GNN,0,2.0034234523773193,0.0001,0.01,2,0.3,19
0.2606516290726817,0.17674550614947965,USA,EUROPE,GNN,1,1.9683034420013428,0.0001,0.01,2,0.3,19
0.24812030075187969,0.10122699386503067,USA,EUROPE,GNN,2,2.2350547313690186,0.0001,0.01,2,0.3,19
0.2882205513784461,0.20577819563599326,USA,EUROPE,GNN,0,2.234013557434082,0.0001,0.01,2,0.5,20
0.23558897243107768,0.15284628840221318,USA,EUROPE,GNN,1,2.431001663208008,0.0001,0.01,2,0.5,20
0.3057644110275689,0.22944807091355884,USA,EUROPE,GNN,2,2.5480148792266846,0.0001,0.01,2,0.5,20
0.2656641604010025,0.1356793743890518,USA,EUROPE,GNN,0,2.3854174613952637,0.0001,0.01,3,0.1,21
0.2982456140350877,0.18994213482464545,USA,EUROPE,GNN,1,3.7071263790130615,0.0001,0.01,3,0.1,21
