micro_f1,macro_f1,source,target,model,seed,train_time,lr,weight_decay,num_layers,dropout_ratio,config_id
0.3483709273182957,0.22681813105681775,BRAZIL,EUROPE,GNN,0,3.0767300128936768,0.0001,0.001,2,0.1,0
0.3032581453634085,0.19519851710117198,BRAZIL,EUROPE,GNN,1,2.2787668704986572,0.0001,0.001,2,0.1,0
0.2731829573934837,0.15995432232339488,BRAZIL,EUROPE,GNN,2,1.9986462593078613,0.0001,0.001,2,0.1,0
0.2907268170426065,0.1975880284040733,BRAZIL,EUROPE,GNN,0,1.9644269943237305,0.0001,0.001,2,0.3,1
0.2631578947368421,0.13507068412131704,BRAZIL,EUROPE,GNN,1,1.7436072826385498,0.0001,0.001,2,0.3,1
0.22055137844611528,0.12972719169796906,BRAZIL,EUROPE,GNN,2,2.0412838459014893,0.0001,0.001,2,0.3,1
0.21804511278195488,0.10685137365481709,BRAZIL,EUROPE,GNN,0,1.8911817073822021,0.0001,0.001,2,0.5,2
0.3157894736842105,0.2194539321104786,BRAZIL,EUROPE,GNN,1,1.6886835098266602,0.0001,0.001,2,0.5,2
0.2556390977443609,0.12164053751399775,BRAZIL,EUROPE,GNN,2,2.1303672790527344,0.0001,0.001,2,0.5,2
0.2857142857142857,0.1921275691569088,BRAZIL,EUROPE,GNN,0,2.2900705337524414,0.0001,0.001,3,0.1,3
0.2882205513784461,0.1829246992231906,BRAZIL,EUROPE,GNN,1,2.266299247741699,0.0001,0.001,3,0.1,3
0.2756892230576441,0.14831655129011956,BRAZIL,EUROPE,GNN,2,2.193089723587036,0.0001,0.001,3,0.1,3
0.2556390977443609,0.11595871131226447,BRAZIL,EUROPE,GNN,0,2.7928009033203125,0.0001,0.001,3,0.3,4
0.24812030075187969,0.1,BRAZIL,EUROPE,GNN,1,2.4155819416046143,0.0001,0.001,3,0.3,4
0.3182957393483709,0.2243199140466186,BRAZIL,EUROPE,GNN,2,2.6007301807403564,0.0001,0.001,3,0.3,4
0.2781954887218045,0.16818625854770433,BRAZIL,EUROPE,GNN,0,2.572046995162964,0.0001,0.001,3,0.5,5
0.3508771929824561,0.29414247020879863,BRAZIL,EUROPE,GNN,1,2.3705925941467285,0.0001,0.001,3,0.5,5
0.2781954887218045,0.1820637365241085,BRAZIL,EUROPE,GNN,2,2.5386159420013428,0.0001,0.001,3,0.5,5
0.2656641604010025,0.13567863624578688,BRAZIL,EUROPE,GNN,0,3.016291379928589,0.0001,0.001,4,0.1,6
0.2681704260651629,0.1472034782841241,BRAZIL,EUROPE,GNN,1,3.3832900524139404,0.0001,0.001,4,0.1,6
0.3458646616541353,0.2293645409317051,BRAZIL,EUROPE,GNN,2,3.0351715087890625,0.0001,0.001,4,0.1,6
0.2957393483709273,0.1892554155341405,BRAZIL,EUROPE,GNN,0,2.5699217319488525,0.0001,0.001,4,0.3,7
0.2756892230576441,0.1470574324856931,BRAZIL,EUROPE,GNN,1,2.5278143882751465,0.0001,0.001,4,0.3,7
0.2556390977443609,0.10179640718562874,BRAZIL,EUROPE,GNN,2,2.5874698162078857,0.0001,0.001,4,0.3,7
0.24812030075187969,0.09939759036144578,BRAZIL,EUROPE,GNN,0,2.659001111984253,0.0001,0.001,4,0.5,8
0.24812030075187969,0.09939759036144578,BRAZIL,EUROPE,GNN,1,2.809483528137207,0.0001,0.001,4,0.5,8
0.2756892230576441,0.16515046481451856,BRAZIL,EUROPE,GNN,2,3.0665314197540283,0.0001,0.001,4,0.5,8
0.2982456140350877,0.19232457171517686,BRAZIL,EUROPE,GNN,0,2.020225763320923,0.0001,0.005,2,0.1,9
0.2606516290726817,0.15201005025125627,BRAZIL,EUROPE,GNN,1,2.444622755050659,0.0001,0.005,2,0.1,9
0.2656641604010025,0.14709202612002487,BRAZIL,EUROPE,GNN,2,1.9991555213928223,0.0001,0.005,2,0.1,9
0.3533834586466165,0.23796082949308756,BRAZIL,EUROPE,GNN,0,2.110837936401367,0.0001,0.005,2,0.3,10
0.2982456140350877,0.1989023752831175,BRAZIL,EUROPE,GNN,1,1.861403465270996,0.0001,0.005,2,0.3,10
0.22055137844611528,0.15310520487264673,BRAZIL,EUROPE,GNN,2,2.175952911376953,0.0001,0.005,2,0.3,10
0.23057644110275688,0.11673989679501706,BRAZIL,EUROPE,GNN,0,2.516342878341675,0.0001,0.005,2,0.5,11
0.2907268170426065,0.17536799657373092,BRAZIL,EUROPE,GNN,1,2.274019241333008,0.0001,0.005,2,0.5,11
0.2832080200501253,0.1901112189466193,BRAZIL,EUROPE,GNN,2,2.22013258934021,0.0001,0.005,2,0.5,11
0.2506265664160401,0.10474888214627914,BRAZIL,EUROPE,GNN,0,2.6173880100250244,0.0001,0.005,3,0.1,12
0.2832080200501253,0.16093353453597642,BRAZIL,EUROPE,GNN,1,2.470038652420044,0.0001,0.005,3,0.1,12
0.2531328320802005,0.101,BRAZIL,EUROPE,GNN,2,2.5315792560577393,0.0001,0.005,3,0.1,12
0.24812030075187969,0.10122699386503067,BRAZIL,EUROPE,GNN,0,2.278778314590454,0.0001,0.005,3,0.3,13
0.2932330827067669,0.17299800856918712,BRAZIL,EUROPE,GNN,1,2.120903491973877,0.0001,0.005,3,0.3,13
0.24812030075187969,0.09939759036144578,BRAZIL,EUROPE,GNN,2,2.1144726276397705,0.0001,0.005,3,0.3,13
0.2581453634085213,0.12008839978351073,BRAZIL,EUROPE,GNN,0,2.3449490070343018,0.0001,0.005,3,0.5,14
0.2982456140350877,0.18069098499309405,BRAZIL,EUROPE,GNN,1,2.403503894805908,0.0001,0.005,3,0.5,14
0.23558897243107768,0.09984845423317842,BRAZIL,EUROPE,GNN,2,2.386436939239502,0.0001,0.005,3,0.5,14
0.2781954887218045,0.16085458606198005,BRAZIL,EUROPE,GNN,0,2.689626455307007,0.0001,0.005,4,0.1,15
0.3233082706766917,0.24220363748391588,BRAZIL,EUROPE,GNN,1,2.859442710876465,0.0001,0.005,4,0.1,15
0.2631578947368421,0.1308412540785927,BRAZIL,EUROPE,GNN,2,2.8464629650115967,0.0001,0.005,4,0.1,15
0.24812030075187969,0.10020242914979757,BRAZIL,EUROPE,GNN,0,2.808820962905884,0.0001,0.005,4,0.3,16
0.24812030075187969,0.1014344262295082,BRAZIL,EUROPE,GNN,1,2.4386649131774902,0.0001,0.005,4,0.3,16
0.22055137844611528,0.1309314199222456,BRAZIL,EUROPE,GNN,2,3.0072591304779053,0.0001,0.005,4,0.3,16
0.24812030075187969,0.09939759036144578,BRAZIL,EUROPE,GNN,0,2.8463656902313232,0.0001,0.005,4,0.5,17
0.2506265664160401,0.1044519544451173,BRAZIL,EUROPE,GNN,1,2.5036473274230957,0.0001,0.005,4,0.5,17
0.3308270676691729,0.21017976588628762,BRAZIL,EUROPE,GNN,2,2.690478563308716,0.0001,0.005,4,0.5,17
0.2807017543859649,0.15796214101506992,BRAZIL,EUROPE,GNN,0,2.3112807273864746,0.0001,0.01,2,0.1,18
0.2581453634085213,0.1203670770827838,BRAZIL,EUROPE,GNN,1,2.294642210006714,0.0001,0.01,2,0.1,18
0.2706766917293233,0.14455349089932634,BRAZIL,EUROPE,GNN,2,2.6018261909484863,0.0001,0.01,2,0.1,18
0.2506265664160401,0.1006036217303823,BRAZIL,EUROPE,GNN,0,2.657472848892212,0.0001,0.01,2,0.3,19
0.2982456140350877,0.21441623267590815,BRAZIL,EUROPE,GNN,1,2.2940430641174316,0.0001,0.01,2,0.3,19
0.3308270676691729,0.21576489086200518,BRAZIL,EUROPE,GNN,2,2.217181921005249,0.0001,0.01,2,0.3,19
