micro_f1,macro_f1,source,target,model,seed,train_time,lr,weight_decay,num_layers,dropout_ratio,config_id
0.5436965811965812,0.46027921968712115,DBLPv7,ACMv9,GNN,0,4.386948347091675,0.0001,0.001,2,0.1,0
0.5446581196581196,0.46207375960631597,DBLPv7,ACMv9,GNN,1,6.250223159790039,0.0001,0.001,2,0.1,0
0.5241452991452992,0.4426678893270445,DBLPv7,ACMv9,GNN,2,5.2726733684539795,0.0001,0.001,2,0.1,0
0.5253205128205128,0.44329782804627227,DBLPv7,ACMv9,GNN,0,6.125462770462036,0.0001,0.001,2,0.3,1
0.5354700854700855,0.4546241067983101,DBLPv7,ACMv9,GNN,1,8.064906358718872,0.0001,0.001,2,0.3,1
0.541559829059829,0.46146838812716345,DBLPv7,ACMv9,GNN,2,6.584901571273804,0.0001,0.001,2,0.3,1
0.5544871794871795,0.471401857879229,DBLPv7,ACMv9,GNN,0,4.8733556270599365,0.0001,0.001,2,0.5,2
0.542094017094017,0.45821857843455494,DBLPv7,ACMv9,GNN,1,4.748950481414795,0.0001,0.001,2,0.5,2
0.5376068376068376,0.45863785002442603,DBLPv7,ACMv9,GNN,2,4.4222412109375,0.0001,0.001,2,0.5,2
0.5197649572649573,0.44753022356673855,DBLPv7,ACMv9,GNN,0,6.461072206497192,0.0001,0.001,3,0.1,3
0.572008547008547,0.48323859323284857,DBLPv7,ACMv9,GNN,1,6.105259418487549,0.0001,0.001,3,0.1,3
0.5655982905982906,0.47907815893941963,DBLPv7,ACMv9,GNN,2,5.079408884048462,0.0001,0.001,3,0.1,3
0.524465811965812,0.44937991734192034,DBLPv7,ACMv9,GNN,0,6.745157480239868,0.0001,0.001,3,0.3,4
0.5610042735042735,0.477761604286016,DBLPv7,ACMv9,GNN,1,7.856564521789551,0.0001,0.001,3,0.3,4
0.5756410256410256,0.4923083542027814,DBLPv7,ACMv9,GNN,2,6.773656129837036,0.0001,0.001,3,0.3,4
0.5700854700854701,0.48009556242350165,DBLPv7,ACMv9,GNN,0,6.57019567489624,0.0001,0.001,3,0.5,5
0.5863247863247864,0.49875001483529235,DBLPv7,ACMv9,GNN,1,6.684755086898804,0.0001,0.001,3,0.5,5
0.5563034188034188,0.47698751207915596,DBLPv7,ACMv9,GNN,2,6.591504812240601,0.0001,0.001,3,0.5,5
0.5841880341880342,0.4964602270463798,DBLPv7,ACMv9,GNN,0,7.5920140743255615,0.0001,0.001,4,0.1,6
0.5561965811965812,0.4707537026983172,DBLPv7,ACMv9,GNN,1,8.374148845672607,0.0001,0.001,4,0.1,6
0.6009615384615384,0.5096410790202903,DBLPv7,ACMv9,GNN,2,6.890629768371582,0.0001,0.001,4,0.1,6
