micro_f1,macro_f1,source,target,model,seed,train_time,lr,weight_decay,num_layers,dropout_ratio,config_id
0.24427480916030533,0.09815950920245399,USA,BRAZIL,GNN,0,2.1206934452056885,0.0001,0.001,2,0.1,0
0.35877862595419846,0.2538198103266596,USA,BRAZIL,GNN,1,2.357991933822632,0.0001,0.001,2,0.1,0
0.2366412213740458,0.17592004381161008,USA,BRAZIL,GNN,2,2.421299695968628,0.0001,0.001,2,0.1,0
0.2366412213740458,0.14021939586645468,USA,BRAZIL,GNN,0,2.7609243392944336,0.0001,0.001,2,0.3,1
0.29770992366412213,0.20472223105542658,USA,BRAZIL,GNN,1,3.262336254119873,0.0001,0.001,2,0.3,1
0.22137404580152673,0.15222816399286987,USA,BRAZIL,GNN,2,2.4393150806427,0.0001,0.001,2,0.3,1
0.3969465648854962,0.33121868289191125,USA,BRAZIL,GNN,0,2.515794038772583,0.0001,0.001,2,0.5,2
0.2748091603053435,0.18271098640189942,USA,BRAZIL,GNN,1,3.125515937805176,0.0001,0.001,2,0.5,2
0.24427480916030533,0.1,USA,BRAZIL,GNN,2,3.0988125801086426,0.0001,0.001,2,0.5,2
0.24427480916030533,0.12061434408905171,USA,BRAZIL,GNN,0,3.25179123878479,0.0001,0.001,3,0.1,3
0.3053435114503817,0.1923952641165756,USA,BRAZIL,GNN,1,2.949735403060913,0.0001,0.001,3,0.1,3
0.2366412213740458,0.1040268456375839,USA,BRAZIL,GNN,2,2.8755979537963867,0.0001,0.001,3,0.1,3
0.2595419847328244,0.12954159592529713,USA,BRAZIL,GNN,0,2.4032089710235596,0.0001,0.001,3,0.3,4
0.2366412213740458,0.12460239784683141,USA,BRAZIL,GNN,1,2.2115375995635986,0.0001,0.001,3,0.3,4
0.2595419847328244,0.10303030303030303,USA,BRAZIL,GNN,2,2.1971845626831055,0.0001,0.001,3,0.3,4
0.24427480916030533,0.11510791366906475,USA,BRAZIL,GNN,0,2.6185059547424316,0.0001,0.001,3,0.5,5
0.24427480916030533,0.09815950920245399,USA,BRAZIL,GNN,1,2.882815361022949,0.0001,0.001,3,0.5,5
0.25190839694656486,0.14074074074074075,USA,BRAZIL,GNN,2,2.787714958190918,0.0001,0.001,3,0.5,5
0.25190839694656486,0.10122699386503067,USA,BRAZIL,GNN,0,3.3793649673461914,0.0001,0.001,4,0.1,6
0.24427480916030533,0.09815950920245399,USA,BRAZIL,GNN,1,3.539104700088501,0.0001,0.001,4,0.1,6
0.24427480916030533,0.09815950920245399,USA,BRAZIL,GNN,2,3.650881767272949,0.0001,0.001,4,0.1,6
0.24427480916030533,0.09876543209876543,USA,BRAZIL,GNN,0,3.547168731689453,0.0001,0.001,4,0.3,7
0.20610687022900764,0.11697722567287784,USA,BRAZIL,GNN,1,3.486990213394165,0.0001,0.001,4,0.3,7
0.25190839694656486,0.11647992530345472,USA,BRAZIL,GNN,2,3.3151252269744873,0.0001,0.001,4,0.3,7
0.24427480916030533,0.09815950920245399,USA,BRAZIL,GNN,0,2.7448573112487793,0.0001,0.001,4,0.5,8
0.2366412213740458,0.10130718954248366,USA,BRAZIL,GNN,1,2.7717504501342773,0.0001,0.001,4,0.5,8
0.24427480916030533,0.1038961038961039,USA,BRAZIL,GNN,2,2.69765043258667,0.0001,0.001,4,0.5,8
0.24427480916030533,0.09815950920245399,USA,BRAZIL,GNN,0,2.1083221435546875,0.0001,0.005,2,0.1,9
0.29770992366412213,0.19163478399489875,USA,BRAZIL,GNN,1,2.418504476547241,0.0001,0.005,2,0.1,9
0.183206106870229,0.08333333333333333,USA,BRAZIL,GNN,2,1.8838584423065186,0.0001,0.005,2,0.1,9
0.24427480916030533,0.1,USA,BRAZIL,GNN,0,2.45047926902771,0.0001,0.005,2,0.3,10
0.3053435114503817,0.2075670498084291,USA,BRAZIL,GNN,1,2.087813377380371,0.0001,0.005,2,0.3,10
0.366412213740458,0.25070113400804783,USA,BRAZIL,GNN,2,1.9514684677124023,0.0001,0.005,2,0.3,10
0.21374045801526717,0.10659801678108315,USA,BRAZIL,GNN,0,1.922149896621704,0.0001,0.005,2,0.5,11
0.25190839694656486,0.1157258064516129,USA,BRAZIL,GNN,1,1.975667953491211,0.0001,0.005,2,0.5,11
0.3511450381679389,0.24609843937575032,USA,BRAZIL,GNN,2,1.7574779987335205,0.0001,0.005,2,0.5,11
