micro_f1,macro_f1,source,target,model,seed,train_time,lr,weight_decay,num_layers,dropout_ratio,config_id
0.25,0.15438823624633072,Blog2,Blog1,GNN,0,3.711470127105713,0.0001,0.001,2,0.1,0
0.35478260869565215,0.24736520928109373,Blog2,Blog1,GNN,1,3.2744898796081543,0.0001,0.001,2,0.1,0
0.3030434782608696,0.22134393262379,Blog2,Blog1,GNN,2,3.5507590770721436,0.0001,0.001,2,0.1,0
0.25565217391304346,0.1436575014329734,Blog2,Blog1,GNN,0,3.3119077682495117,0.0001,0.001,2,0.3,1
0.32304347826086954,0.22769259050012536,Blog2,Blog1,GNN,1,3.3418262004852295,0.0001,0.001,2,0.3,1
0.3373913043478261,0.24043171595566368,Blog2,Blog1,GNN,2,4.1022255420684814,0.0001,0.001,2,0.3,1
0.35304347826086957,0.256136751278998,Blog2,Blog1,GNN,0,4.242818832397461,0.0001,0.001,2,0.5,2
0.27956521739130435,0.18318672964607555,Blog2,Blog1,GNN,1,4.392752647399902,0.0001,0.001,2,0.5,2
0.3143478260869565,0.22671380637865038,Blog2,Blog1,GNN,2,4.090372323989868,0.0001,0.001,2,0.5,2
0.27869565217391307,0.14768492608314124,Blog2,Blog1,GNN,0,4.22306752204895,0.0001,0.001,3,0.1,3
0.3417391304347826,0.27317052619003146,Blog2,Blog1,GNN,1,4.32511568069458,0.0001,0.001,3,0.1,3
0.28,0.19272582919133385,Blog2,Blog1,GNN,2,4.434545040130615,0.0001,0.001,3,0.1,3
0.3008695652173913,0.1975549254222231,Blog2,Blog1,GNN,0,4.113893985748291,0.0001,0.001,3,0.3,4
0.3126086956521739,0.20901480542666193,Blog2,Blog1,GNN,1,4.208679437637329,0.0001,0.001,3,0.3,4
0.34695652173913044,0.2314016407271576,Blog2,Blog1,GNN,2,4.3584887981414795,0.0001,0.001,3,0.3,4
0.2543478260869565,0.13589213476366768,Blog2,Blog1,GNN,0,4.197333335876465,0.0001,0.001,3,0.5,5
0.2617391304347826,0.16922233039180115,Blog2,Blog1,GNN,1,5.0562498569488525,0.0001,0.001,3,0.5,5
0.24956521739130436,0.12735880284021203,Blog2,Blog1,GNN,2,5.012904167175293,0.0001,0.001,3,0.5,5
0.27260869565217394,0.1829203766479357,Blog2,Blog1,GNN,0,5.209588050842285,0.0001,0.001,4,0.1,6
0.23,0.12345693407960197,Blog2,Blog1,GNN,1,6.077349424362183,0.0001,0.001,4,0.1,6
